"Task","Focus","Main_Methods_or_Output"
1,"Problem Understanding & Setup","Project scope, stakeholders, objectives, data dictionary and reproducibility setup."
2,"Research Landscape & Literature Synthesis","Synthesis of 16 selected references; identify methods, limitations and methodological justification."
3,"Data Quality, EDA & Initial Insights","Missingness, IQR/boxplots, distributions, correlations and categorical breakdowns."
4,"Statistical Inference Evidence","One-way ANOVA, Welch two-sample t-tests and Levene's test; report F/t statistics, p-values and confidence intervals."
5,"Predictive Statistical Modelling & Diagnostics","MLR, Ridge, LASSO and GLM; diagnostics and comparison using R2, adjusted R2, RMSE and MAE."
6,"Experimental Design Evaluation: CRD vs RCBD","Critical evaluation of CRD and RCBD, including blocking by agro-ecological zone or soil-moisture gradients."
7,"Dimensionality Reduction via PCA","prcomp with scaling; scree plot, cumulative variance and biplot; interpret predictive efficiency versus stakeholder interpretability."
8,"Bayesian Statistical Methods Evaluation","Naive Bayes and Bayesian linear regression compared conceptually with frequentist approaches."
9,"Time Series Extension Roadmap","ARIMA / seasonal decomposition roadmap for seasonal and rainfall-related temporal patterns."
10,"Industry Innovation Proposal","Precision agriculture advisory dashboard and decision-engine framework."
11,"Industry Expert Validation","Structured expert feedback collection and documented revisions."
12,"Board Consultancy Recommendations","Strategic, operational, risk/ethical and future-research recommendations."
