"Variable_Group","Variable","Purpose"
"Primary Target","Urea_kg_ha","Continuous fertilizer recommendation outcome for predictive modelling."
"Primary Target","TSP_kg_ha","Continuous fertilizer recommendation outcome for predictive modelling."
"Primary Target","MOP_kg_ha","Continuous fertilizer recommendation outcome for predictive modelling."
"Soil Predictor","Soil_pH","Soil condition / nutrient predictors identified for agricultural analysis."
"Soil Predictor","Total_N_percent","Soil condition / nutrient predictors identified for agricultural analysis."
"Soil Predictor","Available_P_mgkg","Soil condition / nutrient predictors identified for agricultural analysis."
"Soil Predictor","Available_K_mgkg","Soil condition / nutrient predictors identified for agricultural analysis."
"Soil Predictor","Organic_Carbon_percent","Soil condition / nutrient predictors identified for agricultural analysis."
"Weather Predictor","Rainfall_30d_mm","Weather-related predictors available for modelling and interpretation."
"Weather Predictor","Temperature_mean_C","Weather-related predictors available for modelling and interpretation."
"Geographical Predictor","District","Location-related categorical variables for group comparisons and modelling."
"Geographical Predictor","Agro_Zone","Location-related categorical variables for group comparisons and modelling."
"Seasonal Predictor","Season","Cultivation-season variable for seasonal comparisons and modelling."
"Reference Recommendation","Recommended_N_kg_ha","Reference nutrient recommendation fields supplied with the dataset."
"Reference Recommendation","Recommended_P2O5_kg_ha","Reference nutrient recommendation fields supplied with the dataset."
"Reference Recommendation","Recommended_K2O_kg_ha","Reference nutrient recommendation fields supplied with the dataset."
